DMC N148x (pubggta 5) I7 377016gb Ram256gb Ssd+1tb Hdd4gb Rx55023.8 Oyun Bilgisayarý 4423 ,10649,5.0,1000,16,Intel Core i7,156,Windows,DMCBÝLGÝSAYAR,DMC
"TURBOX Tx307 i7 3770S 16GB Ram 256GB SSD 4GB EK. 23.8"" Curved Masaüstü Oyun Pc Bilgisayarý 7549199 ",8863,5.0,240, ,Intel Core i7,24,Windows,Atom Biliþim,TURBOX
"LENOVO Thinkbook 14 G2 Intel Core I5-1135g7 8gb 256gb Ssd 14"" Freedos 20vd00d6tx 20VD00D6TX ",12999,3.0,256,8,Intel Core i7,22,Free Dos,notebookstore,LENOVO
Zeiron Vulcan Beta A44 I5-3470 16gb 120gb + 500gb 4gb Oyun Pc ZVC-BA44 ,5299,4.4,500, , Intel Core i5,14,Free Dos,CÝTY BÝLÝÞÝM,Zeiron
"LENOVO Ideapad 3 Intel Core I3 1115g4 8gb 256gb Ssd Freedos Fhd 14"" 82h7014stx01 82H7014STX01 ",7969,4.1,256,8, Intel Core i5 ,39,Free Dos,Teknoev,LENOVO
Gigabyte A5 K1-aee1130sd Ryzen 5 5600h 16gb 512gb Ssd Rtx3060 Max-q 6gb 15.6 Fhd 144hz Freedos A5-K1-AEE1130SD ,20999,5.0,256, , Intel Core i3,14,Free Dos,Ebrar Bilgisayar,Gigabyte 
"ACER Extensa 15 Intel Core I5 1035g1 8gb 512gb Ssd Mx330 Freedos 15.6"" Fhd Nx.egcey.002 NX.EGCEY.002 ",11250,4.5,512,8,AMD Ryzen 5,156,Free Dos,pazar yeri,ACER
"Monster Huma H4 V5.2 Intel Core I7-1255u 16gb Ram 512gb Ssd Freedos 141"" Fhd ",15299,5.0,512, ,Intel Core i5,156,Free Dos,Monster Notebook,Monster
"Apple Macbook Air 13.6"" M2 8gb 256gb Ssd Uzay Grisi MLXW3TU/A ",24599,4.8,256,8,Intel Core i7,141,Mac Os,Trendyol,Apple
Dell Inspiron 3511 2205 I7-1165g7 16gb 512gb Ssd 15.6 Fhd Ubuntu I35112205U016 ,13629,4.8,512, ,Belirtilmemiþ,136,Free Dos,Ebrar Bilgisayar,Dell
"HP 14s-dq3005nt 4g6c2ea05 N4500 8gb 512ssd 14"" Hd W10h Taþýnabilir Bilgisayar T10339E ",7789,3.7,512,8, Intel Core i7,156,Free Dos,Teknoraks,HP
"Zeiron Fx60 Eko I5-3470 16gb 1tb Hdd+256gb Ssd Rx550 23.8"" Oyuncu Masaüstü Bilgisayar ZRN-FX60U ",9503,5.0,256,8, Intel Celeron,14,Free Dos,CÝTY BÝLÝÞÝM,Zeiron
