DMC N148x (pubggta 5) I7 377016gb Ram256gb Ssd+1tb Hdd4gb Rx55023.8 Oyun Bilgisayarý 4423 ;https://www.trendyol.com//dmc/n148x-pubg-gta-5-i7-3770-16gb-ram-256gb-ssd-1tb-hdd-4gb-rx550-23-8-oyun-bilgisayari-p-379615173?boutiqueId=61&merchantId=172251&advertItems=eyJhZHZlcnRJZCI6IjY4ZjI4YzdjLWZhNjUtNDY3Mi05ZjdmLWE2NWIxOWFlNDQzMSIsInNvcnRpbmdTY29yZSI6Mi44NzkxNDA3NDAyOTQsImFkU2NvcmUiOjYuODU1MDk3MDAwNywiYWRTY29yZXMiOnsiMSI6Ni44NTUwOTcwMDA3LCIyIjo2Ljg1NTA5NzAwMDd9LCJjcGMiOjAuNDIsIm1pbkNwYyI6MCwiZUNwYyI6MC40MTg0MTE1MTQ2MjIwNTU5NSwiYWR2ZXJ0U2xvdCI6MjEyLCJvcmRlciI6MTEsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IixTdWdnZXN0aW9uX0EsUmVsZXZhbmN5XzEsRmlsdGVyUmVsZXZhbmN5XzEsTGlzdGluZ1Njb3JpbmdBbGdvcml0aG1JZF8xLFNtYXJ0bGlzdGluZ18yLEZsYXNoU2FsZXNfMSxTdWdnZXN0aW9uQmFkZ2VzX0EsU3VnZ2VzdGlvbl9BLFJlbGV2YW5jeV8xLEZpbHRlclJlbGV2YW5jeV8xLExpc3RpbmdTY29yaW5nQWxnb3JpdGhtSWRfMSxTbWFydGxpc3RpbmdfMixGbGFzaFNhbGVzXzEsU3VnZ2VzdGlvbkJhZGdlc19BIn0=;DMC;10.649;DMCBÝLGÝSAYAR;5.0;-;3 Deðerlendirme;23 Soru & Cevap;[Tam istediðim gibi geldi. Sipariþime özen gösterilerek hazýrlanýp paketlenmiþ. Tavsiye ederim... Tam istediðim gibi geldi. Sipariþime özen gösterilerek hazýrlanýp paketlenmiþ. Tavsiye ederim... ürün tam istediðim gibi çýktý ayrýca satýcý çok ilgili davrandý teþekkürler ürün elime ulaþtýktan sonrada iletiþime geçen satýcý için ayrýca teþekkür ederim. tavsiyesi üzerine ürünü aldým çok memnunum ??];"Kapasite: 1 TB Ram (Sistem Belleði): 16 GB SSD Kapasitesi: 256 GB Ekran Kartý: AMD Radeon RX 550 Ýþlemci Tipi: Intel Core i7 Baðlantýlar: HDMI Ekran Kartý Bellek Tipi: DDR5 Ekran Boyutu: 24"" / 61 Ekran Ekran Kartý Tipi: Harici Optik Sürücü Tipi: Yok Beden: Tek Ebat Panel Tipi: IPS Ýþlemci Çekirdek Sayýsý: 4 Ýþletim Sistemi: Windows Çözünürlük: 1920 x 1080 Ekran Kartý Hafýzasý: 4 GB Temel Ýþlemci Hýzý (GHz): 3.4 HDMI: Var Garanti Tipi: Resmi Distribütör Garantili Klavye: Numerik Tuþlu Aydýnlatmalý Ýþlemci Modeli: 3770 Okula Dönüþ: Üniversite Kullaným Amacý: Oyun Garanti Süresi: 2 Yýl"
"LENOVO Ideapad Gaming3 Ryzen7 5800h 16gb 512gb Ssd Rtx 3050ti 4gb Fdos 15.6"" Fhd Notebook 82k200jwtx 82K200JWTX ";https://www.trendyol.com//lenovo/ideapad-gaming3-ryzen7-5800h-16gb-512gb-ssd-rtx-3050ti-4gb-fdos-15-6-fhd-notebook-82k200jwtx-p-236657729?boutiqueId=619507&merchantId=107007;LENOVO;20.566;Bozdan Teknoloji;4.8;-;29 Deðerlendirme;103 Soru & Cevap;[kýzýma aldýk kaliteli kullanýþlý þimdilik memnunuz hýzlý ve saðlam teslimat Ürünü üniversitesi öðrencisi olan oðlum için aldým henüz denemedi ancak kargo paket ve teslimat son derece ozenliydi tsk ederim paketleme çok iyiydi. Kargo hýzlý geldi. Özelliklerini bilerek alýrsanýz üzülmezsiniz. Hýzlý ve güvenilir herþey için teþekkürler];Ýþlemci Tipi: AMD Ryzen 7 Ram (Sistem Belleði): 16 GB SSD Kapasitesi: 512 GB Ýþletim Sistemi: Free Dos Garanti Tipi: Resmi Distribütör Garantili Ekran Kartý: Nvidia GeForce RTX 3050 Ti Ekran Boyutu: 156 inç Çözünürlük: 1920 x 1080 Kullaným Amacý: Oyun Cihaz Aðýrlýðý: 2 - 4 kg Þarjlý Kullaným Süresi: 6 Saat ve Üstü Ekran Yenileme Hýzý: Belirtilmemiþ Ekran Kartý Tipi: Harici Ekran Kartý Hafýzasý: 4 GB Ýþlemci Modeli: 5800H Ýþlemci Nesli: 5. Nesil Ýþlemci Çekirdek Sayýsý: Belirtilmemiþ Hard Disk Kapasitesi: HDD Yok Dokunmatik Ekran: Yok Panel Tipi: IPS Ram (Sistem Belleði) Tipi: DDR4 Renk: Siyah Temel Ýþlemci Hýzý (GHz): 3.2 Maksimum Ýþlemci Hýzý (GHz): 4.4 Optik Sürücü Tipi: Yok Klavye: Q Türkçe Ekran Kartý Bellek Tipi: GDDR6 Çözünürlük Standartý: Full HD (FHD) Garanti Süresi: 2 Yýl
"TURBOX Tx307 i7 3770S 16GB Ram 256GB SSD 4GB EK. 23.8"" Curved Masaüstü Oyun Pc Bilgisayarý 7549199 ";https://www.trendyol.com//turbox/tx307-i7-3770s-16gb-ram-256gb-ssd-4gb-ek-23-8-curved-masaustu-oyun-pc-bilgisayari-p-112255056?boutiqueId=61&merchantId=107513;TURBOX;8863.9;Atom Biliþim;5.0;-;4 Deðerlendirme;76 Soru & Cevap;[çok güzel ve kullanýþlý çok güzel ve kullanýþlý mükemmel ötesi herkese tavsiye ederim fiyat performans ürünü bana yetecek bir PC umarým ileride de sorun yaþamam teþekkürler...];Ram (Sistem Belleði): 16 GB SSD Kapasitesi: 240 GB Ekran Kartý: Dahili Ekran Kartý Ýþlemci Tipi: Intel Core i7 Arttýrýlabilir Azami Bellek: 16 GB Ekran Boyutu: 22 - 24 inç Ekran Kartý Hafýzasý: 4 GB Çözünürlük: 1920 x 1080 Ekran Kartý Bellek Tipi: DDR3 Çözünürlük Standartý: Full HD (FHD) Ýþlemci Nesli: 3. Nesil Ekran Kartý Tipi: Harici Garanti Tipi: Resmi Distribütör Garantili Kapasite: Yok Kullaným Amacý: Oyun Ýþlemci Çekirdek Sayýsý: 4 Power Supply: 350 - 500 W Optik Sürücü Tipi: Yok Ýþlemci Frekansý: 2.50 GHz - 3.00 GHz Ýþletim Sistemi: Free Dos Renk: Siyah Klavye: Q Türkçe Dokunmatik Ekran: Yok Ýþlemci Modeli: 1000M Garanti Süresi: 2 Yýl
"LENOVO Thinkbook 14 G2 Intel Core I5-1135g7 8gb 256gb Ssd 14"" Freedos 20vd00d6tx 20VD00D6TX ";https://www.trendyol.com//lenovo/thinkbook-14-g2-intel-core-i5-1135g7-8gb-256gb-ssd-14-freedos-20vd00d6tx-p-132253803?boutiqueId=61&merchantId=114271&advertItems=eyJhZHZlcnRJZCI6Ijg5NGJhMjFkLTgwZWYtNGFlYi04MjZiLTUzNjZhMmJiMWI0MSIsInNvcnRpbmdTY29yZSI6My4yMjAwNjI4NjM1MDgsImFkU2NvcmUiOjcuMDAwMTM2NjU5OCwiYWRTY29yZXMiOnsiMSI6Ny4wMDAxMzY2NTk4LCIyIjo3LjAwMDEzNjY1OTh9LCJjcGMiOjAuNDYsIm1pbkNwYyI6MC4wMSwiZUNwYyI6MC40NTg5NDc2Nzc0ODUxNjkyLCJhZHZlcnRTbG90IjoxNTgsIm9yZGVyIjoxNywic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiLFN1Z2dlc3Rpb25fQSxSZWxldmFuY3lfMSxGaWx0ZXJSZWxldmFuY3lfMSxMaXN0aW5nU2NvcmluZ0FsZ29yaXRobUlkXzEsU21hcnRsaXN0aW5nXzIsRmxhc2hTYWxlc18xLFN1Z2dlc3Rpb25CYWRnZXNfQSJ9;LENOVO;12999.99;notebookstore;3.0;-;0 Deðerlendirme;0 Soru & Cevap;Henüz Yorum Yapýlmamýþ.;Ýþlemci Tipi: Intel Core i5 Ram (Sistem Belleði): 8 GB SSD Kapasitesi: 256 GB Ýþletim Sistemi: Free Dos Ekran Kartý: Intel Iris Graphics Hard Disk Kapasitesi: 250 GB Garanti Tipi: Resmi Distribütör Garantili Ekran Boyutu: 14 inç Çözünürlük: 1920 x 1080 Kullaným Amacý: Ofis - Ýþ Cihaz Aðýrlýðý: 2 kg ve Altý Ekran Kartý Tipi: Dahili Ekran Kartý Hafýzasý: Paylaþýmlý Ýþlemci Modeli: i5-1135G7 Ýþlemci Çekirdek Sayýsý: 8 Kapasite: 250 GB Dokunmatik Ekran: Yok Panel Tipi: IPS Arttýrýlabilir Azami Bellek: 32 GB Renk: Gri Optik Sürücü Tipi: Yok Klavye: Q Türkçe Ekran Kartý Bellek Tipi: DDR5 Çözünürlük Standartý: Full HD (FHD) Ekran Özelliði: Full HD Görüntü Kalitesi: Full HD
Zeiron Vulcan Beta A44 I5-3470 16gb 120gb + 500gb 4gb Oyun Pc ZVC-BA44 ;https://www.trendyol.com//zeiron/vulcan-beta-a44-i5-3470-16gb-120gb-500gb-4gb-oyun-pc-p-54516473?boutiqueId=619646&merchantId=127037&advertItems=eyJhZHZlcnRJZCI6ImZlZTFmOTg4LTRlMGYtNDRlYi05OTUxLTM0Y2EzNzE0NDE3YiIsInNvcnRpbmdTY29yZSI6My4wNzA2NDA2Mjc1MDUsImFkU2NvcmUiOjYuODIzNjQ1ODM4OSwiYWRTY29yZXMiOnsiMSI6Ni44MjM2NDU4Mzg5LCIyIjo2LjgyMzY0NTgzODl9LCJjcGMiOjAuNDUsIm1pbkNwYyI6MCwiZUNwYyI6MC40NDk3NjUwNjk1NzA4OTQsImFkdmVydFNsb3QiOjE4Mywib3JkZXIiOjIwLCJzZWFyY2hUZXJtIjoiYmlsZ2lzYXlhciIsImF0dHJpYnV0ZXMiOiIsU3VnZ2VzdGlvbl9BLFJlbGV2YW5jeV8xLEZpbHRlclJlbGV2YW5jeV8xLExpc3RpbmdTY29yaW5nQWxnb3JpdGhtSWRfMSxTbWFydGxpc3RpbmdfMixGbGFzaFNhbGVzXzEsU3VnZ2VzdGlvbkJhZGdlc19BIn0=;Zeiron;5.299;CÝTY BÝLÝÞÝM;4.4;-;32 Deðerlendirme;296 Soru & Cevap;[Zamanýnda düzgün bir þekilde paketlenmiþ. Nezih bir firma. Hediye de gönderdiler. Ürünler çok performans lý ve kaliteli. Ofiste kullanýlacak ama oyun bilgisayarý ayarýnda. Zamanýnda düzgün bir þekilde paketlenmiþ. Nezih bir firma. Hediye de gönderdiler. Ürünler çok performans lý ve kaliteli. Ofiste kullanýlacak ama oyun bilgisayarý ayarýnda. Ürün gayet iyi tüm oyunlari  100 200 fps arasinda oynuyabiliorum onlar bana yardimci oldu ve bizde olduk suan gayet urunu iyi kullaniyorum ufak hediyeleri icin teþekkürler (Umut Yazýcý) Ürünü satýn aldýktan sonra city biliþimden bir telefon aldým. Farklý marka kasa göndereceklerini ve r7 240 marka ekran kartý göndereceklerini belirttiler. Performans olarak r7 gt730 a göre oyunlarda birazcýk daha performanslý. Bilgisayara gelince Cs go da Radeon software kullanarak ve oyun ayarlarýný en düþüðün biraz üstüne çekerek 70fps de oynuyorum ama bu haritadan haritaya deðiþiyor. Fiyat performans ürünüdür eðer performansýný beðenmezseniz city biliþim çok ilgili ve anlayýþlý bir firma iade ve deðiþim konusunda Asla sýkýntý yaþamazsýnýz ay merhabalar teslimat .paketleme.kalite performans çok iyi hiç teredüt etmeden alabilirsiniz kesinlikle tavsiye ediyorum çok teþekkür ederim Hýzlý güzel ve þýk çoðlum çok beðendi teþekkürler. Sorunsuz ve güzel paketleme ilginiz için de ayrýyeten teþekkür ederiz ????????????????????????];Ram (Sistem Belleði): 16 GB SSD Kapasitesi: 120 GB Kapasite: 500 GB Ýþlemci Tipi: Intel Core i5 Ekran Kartý: Nvidia GeForce GT 730M Baðlantýlar: HDMI Cihaz Aðýrlýðý: 2 kg ve Altý Optik Sürücü Tipi: Yok Ekran Kartý Tipi: Harici Çözünürlük: 1920 x 1080 Çözünürlük Standartý: Full HD (FHD) Arttýrýlabilir Azami Bellek: 16 GB Beden: Tek Ebat Ekran Kartý Bellek Tipi: DDR3 Temel Ýþlemci Hýzý (GHz): 3.2 Ýþlemci Nesli: 3. Nesil Ýþlemci Çekirdek Sayýsý: 4 Power Supply: 350 - 500 W Ýþlemci Frekansý: 3.00 GHz üstü Ýþletim Sistemi: Free Dos HDMI: Var Garanti Tipi: Resmi Distribütör Garantili Klavye: Yok Ýþlemci Modeli: 3500U Okula Dönüþ: Evde Eðitim Kullaným Amacý: Oyun Renk: Siyah
"LENOVO Ideapad 3 Intel Core I3 1115g4 8gb 256gb Ssd Freedos Fhd 14"" 82h7014stx01 82H7014STX01 ";https://www.trendyol.com//lenovo/ideapad-3-intel-core-i3-1115g4-8gb-256gb-ssd-freedos-fhd-14-82h7014stx01-p-329765439?boutiqueId=61&merchantId=448871;LENOVO;7.969;Teknoev;4.1;-;0 Deðerlendirme;0 Soru & Cevap;Henüz Yorum Yapýlmamýþ.;Ýþlemci Tipi: Intel Core i3 Ram (Sistem Belleði): 8 GB SSD Kapasitesi: 256 GB Ýþletim Sistemi: Free Dos Ekran Kartý: Intel HD Graphics Garanti Tipi: Resmi Distribütör Garantili Ekran Boyutu: 14 inç Çözünürlük: 1920 x 1080 Kullaným Amacý: Ofis - Ýþ Cihaz Aðýrlýðý: 2 - 4 kg Ekran Yenileme Hýzý: Belirtilmemiþ Ekran Kartý Tipi: Dahili Ekran Kartý Hafýzasý: Paylaþýmlý Ýþlemci Modeli: 1115G4 Ýþlemci Nesli: 11. Nesil Ýþlemci Çekirdek Sayýsý: Belirtilmemiþ Hard Disk Kapasitesi: HDD Yok Dokunmatik Ekran: Yok Ram (Sistem Belleði) Tipi: DDR4 Renk: Altýn Optik Sürücü Tipi: Yok Klavye: Q Türkçe Ekran Kartý Bellek Tipi: Belirtilmemiþ Çözünürlük Standartý: Full HD (FHD) Garanti Süresi: 2 Yýl
Gigabyte A5 K1-aee1130sd Ryzen 5 5600h 16gb 512gb Ssd Rtx3060 Max-q 6gb 15.6 Fhd 144hz Freedos A5-K1-AEE1130SD ;https://www.trendyol.com//gigabyte/a5-k1-aee1130sd-ryzen-5-5600h-16gb-512gb-ssd-rtx3060-max-q-6gb-15-6-fhd-144hz-freedos-p-464887315?boutiqueId=619507&merchantId=105378;Gigabyte ;20.999;Ebrar Bilgisayar;5.0;-;2 Deðerlendirme;11 Soru & Cevap;[çok çok çok iyi bir bilgisayar þiddetle öneriyorum çok çok çok iyi bir bilgisayar þiddetle öneriyorum Oyun performansý çok çok iyi. Tam yükte doðal olarak fan devreye giriyor bu benim sorun deðil her laptopda olacak bir durum. Ses seviyesi çok yüksek deðil fakat makul. Tavsiye edilir];Ýþlemci Tipi: AMD Ryzen 5 Ram (Sistem Belleði): 16 GB SSD Kapasitesi: 512 GB Ýþletim Sistemi: Free Dos Çözünürlük: 1920 x 1080 Ekran Yenileme Hýzý: 144 Hz Garanti Tipi: Resmi Distribütör Garantili Ekran Kartý: RTX 3060 Max-Q Ekran Boyutu: 156 inç Kullaným Amacý: Oyun Cihaz Aðýrlýðý: 2 - 4 kg Þarjlý Kullaným Süresi: 3 Saat ve Altý Ekran Kartý Tipi: Harici Ekran Kartý Hafýzasý: 6 GB Ýþlemci Modeli: 5600H Ýþlemci Çekirdek Sayýsý: 6 Ýþlemci Nesli: Belirtilmemiþ Hard Disk Kapasitesi: HDD Yok Dokunmatik Ekran: Yok Panel Tipi: IPS Çözünürlük Standartý: Full HD (FHD) Ram (Sistem Belleði) Tipi: DDR4 Optik Sürücü Tipi: Yok Baðlantýlar: HDMI Ekran Kartý Bellek Tipi: GDDR6 Temel Ýþlemci Hýzý (GHz): 3.3 Klavye: Q Ýngilizce Maksimum Ýþlemci Hýzý (GHz): 4.2 Garanti Süresi: 2 Yýl Renk: Siyah
"ACER Extensa 15 Intel Core I5 1035g1 8gb 512gb Ssd Mx330 Freedos 15.6"" Fhd Nx.egcey.002 NX.EGCEY.002 ";https://www.trendyol.com//acer/extensa-15-intel-core-i5-1035g1-8gb-512gb-ssd-mx330-freedos-15-6-fhd-nx-egcey-002-p-95875492?boutiqueId=61&merchantId=354206;ACER;11.250;pazar yeri;4.5;-;128 Deðerlendirme;264 Soru & Cevap;[iyi bilgisayar iyi bilgisayar kargo çok hýzlýydý pazarý pazartesiye baðlayan gece verdiðim sipariþ salý günü elime ulaþtý. ürünü 1 haftadýr kullanýyorum gayet memnunum. ben ev kullanýmý için almýþtým çok fazla da oyun oynamam o yüzden oyun performansý için bir þey diyemem ancak genel olarak baþarýlý. çok memnunuz kullanýyorum  memnunum  ekraný biraz daha saðlam olabilirdi ve  adaptör kablosu çok ince keþke daha kalýn olsaydý kopacak diye tedirgin oluyorum.Ama þimdilik bir sorun yok alýnabilir. Kullanýþlý??];Ýþlemci Tipi: Intel Core i5 Ram (Sistem Belleði): 8 GB SSD Kapasitesi: 512 GB Ýþletim Sistemi: Free Dos Ekran Kartý: Nvidia GeForce MX330 Garanti Tipi: Resmi Distribütör Garantili Ekran Boyutu: 156 inç Çözünürlük: 1920 x 1080 Kullaným Amacý: Ofis - Ýþ Cihaz Aðýrlýðý: 2 kg ve Altý Þarjlý Kullaným Süresi: 4-6 Saat Ekran Yenileme Hýzý: Yok Ekran Kartý Tipi: Harici Ekran Kartý Hafýzasý: 2 GB Ýþlemci Modeli: 1035G1 Ýþlemci Nesli: 10. Nesil Ýþlemci Çekirdek Sayýsý: 4 Kapasite: Yok Hard Disk Kapasitesi: Yok Dokunmatik Ekran: Yok Ram (Sistem Belleði) Tipi: DDR5 Renk: Siyah Temel Ýþlemci Hýzý (GHz): 1.1 Optik Sürücü Tipi: Yok Baðlantýlar: USB Klavye: Q Türkçe Ekran Kartý Bellek Tipi: GDDR5 Çözünürlük Standartý: Full HD (FHD)
"Monster Huma H4 V5.2 Intel Core I7-1255u 16gb Ram 512gb Ssd Freedos 141"" Fhd ";https://www.trendyol.com//monster/huma-h4-v5-2-intel-core-i7-1255u-16gb-ram-512gb-ssd-freedos-14-1-fhd-p-456347368?boutiqueId=619507&merchantId=105286;Monster;15.299;Monster Notebook;5.0;-;8 Deðerlendirme;38 Soru & Cevap;[Hýzlý teslimat ve kaliteli bir ürün çok memnun kaldým Hýzlý teslimat ve kaliteli bir ürün çok memnun kaldým Paketleme cok iyiydi çantasý da ayný þekilde kaliteli biraz ufak ama kaliteli saðlam bir ürün kargolama gayet güzeldi. bilgisayar da taþ gibi. ben mühendislik öðrencisiyim ve laptopu kullanma amacým çeþitli yazýlým programlarýyla projeler geliþtirmek. cihazýn iþlemcisi gayet iyi rami de yeterli. ekran kartý pek iyi deðil ama amaç oyun oynamak ya da üst düzey oyun geliþtirme programlarý kullanmak olmadýðýndan dolayý yazýlým uygulamalarý için gayet ideal. cihazýn amacý oyun oynamak deðil dedim ama arada oynanabilir. ben biraz valorant oynadým ve ortalama 90-130 fps arasý oynattý. bence iyi bir performans. cihazýn þarjýna deðinecek olursak Güzel ürün. Kargosu hýzlý Paketlemede güzel saðlam. Tuþlarýn kullanýmý Ekranýn ince sessiz çalýþmasý hafifliði  ??];Ýþlemci Tipi: Intel Core i7 Ram (Sistem Belleði): 16 GB SSD Kapasitesi: 512 GB Ýþletim Sistemi: Free Dos Ekran Kartý: Intel Iris Graphics Ekran Boyutu: 141 inç Çözünürlük: 1920 x 1080 Kullaným Amacý: Ofis - Ýþ Cihaz Aðýrlýðý: 2 - 4 kg Þarjlý Kullaným Süresi: 4-6 Saat Ekran Yenileme Hýzý: 60 Hz Ekran Kartý Tipi: Dahili Ekran Kartý Hafýzasý: Paylaþýmlý Ýþlemci Modeli: 1255U Ýþlemci Nesli: 12. Nesil Ýþlemci Çekirdek Sayýsý: 10 Kapasite: 512 GB Hard Disk Kapasitesi: HDD Yok Dokunmatik Ekran: Yok Panel Tipi: IPS Ram (Sistem Belleði) Tipi: DDR4 Renk: Gümüþ Garanti Tipi: Monster Türkiye Garantili Temel Ýþlemci Hýzý (GHz): 1.7 Maksimum Ýþlemci Hýzý (GHz): 4.7 Optik Sürücü Tipi: Yok Baðlantýlar: Bluetooth Klavye: Q Türkçe Ekran Kartý Bellek Tipi: Belirtilmemiþ Çözünürlük Standartý: Full HD (FHD) Garanti Süresi: 2 Yýl
"Apple Macbook Air 13.6"" M2 8gb 256gb Ssd Uzay Grisi MLXW3TU/A ";https://www.trendyol.com//apple/macbook-air-13-6-m2-8gb-256gb-ssd-uzay-grisi-p-335392170?boutiqueId=616521&merchantId=968;Apple;24.599;Trendyol;4.8;-;80 Deðerlendirme;70 Soru & Cevap;[Hýzlý ve sorunsuz geldi teþekkürler Hýzlý ve sorunsuz geldi teþekkürler Tavsiye ederim Çok ama çok kullanýþlý Hem çok hýzlý hem de harika paketleme için çok teþekkürler Trendyol Apple kalitesine zaten diyecek biþeyim yok ölmeden bi macbookum olsun mantýðýyla 6 ay taksitle aldým þimdiye kadar almayan aklýma yanýyorum hiçbir þeyi zor deðil arkadaþlar bu yalanlara inanmayýn!!!!];Ram (Sistem Belleði): 8 GB SSD Kapasitesi: 256 GB Ýþletim Sistemi: Mac Os Ekran Kartý: M2 8 Çekirdekli Hard Disk Kapasitesi: 250 GB Garanti Tipi: Resmi Distribütör Garantili Ýþlemci Tipi: M2 Ekran Boyutu: 136 inç Çözünürlük: 2560 x 1600 Kullaným Amacý: Ofis - Ýþ Cihaz Aðýrlýðý: 2 kg ve Altý Ekran Yenileme Hýzý: 120 Hz Ekran Kartý Tipi: Dahili Ekran Kartý Hafýzasý: 8 GB Ýþlemci Modeli: Belirtilmemiþ Ýþlemci Nesli: Belirtilmemiþ Ýþlemci Çekirdek Sayýsý: 8 Dokunmatik Ekran: Yok Ram (Sistem Belleði) Tipi: DDR5 Renk: Gri Optik Sürücü Tipi: Yok Baðlantýlar: Mini HDMI Klavye: Q Türkçe Ekran Kartý Bellek Tipi: Belirtilmemiþ Çözünürlük Standartý: Ultra HD 4K (UHD) Garanti Süresi: 2 Yýl
